symbol,recent_date
A,20210122
AAL,20210122
AAP,20210122
AAPL,20210122
AAXN,20210122
ABBV,20210122
ABC,20210122
ABMD,20210122
ABT,20210122
AC,20210122
ACAD,20210122
ACC,20210122
ACGL,20210122
ACHC,20210122
ACI,20210122
ACM,20210122
ACN,20210122
ADBE,20210122
ADI,20210122
ADM,20210122
ADP,20210122
ADPT,20210122
ADS,20210122
ADSK,20210122
ADT,20210122
AEE,20210122
AEP,20210122
AES,20210122
AFG,20210122
AFL,20210122
AGCO,20210122
AGIO,20210122
AGNC,20210122
AGO,20210122
AGR,20210122
AIG,20210122
AIV,20210122
AIZ,20210122
AJG,20210122
AKAM,20210122
AL,20210122
ALB,20210122
ALGM,20210122
ALGN,20210122
ALK,20210122
ALKS,20210122
ALL,20210122
ALLE,20210122
ALLY,20210122
ALNY,20210122
ALSN,20210122
ALXN,20210122
AM,20210122
AMAT,20210122
AMCR,20210122
AMD,20210122
AME,20210122
AMED,20210122
AMG,20210122
AMGN,20210122
AMH,20210122
AMP,20210122
AMT,20210122
AMWL,20210122
AMZN,20210122
AN,20210122
ANAT,20210122
ANET,20210122
ANSS,20210122
ANTM,20210122
AON,20210122
AOS,20210122
APA,20210122
APD,20210122
APH,20210122
APLE,20210122
APO,20210122
APTV,20210122
ARE,20210122
ARES,20210122
ARMK,20210122
ARRY,20210122
ARW,20210122
ASB,20210122
ASH,20210122
ATH,20210122
ATO,20210122
ATR,20210122
ATUS,20210122
ATVI,20210122
AVB,20210122
AVGO,20210122
AVLR,20210122
AVT,20210122
AVTR,20210122
AVY,20210122
AWI,20210122
AWK,20210122
AXP,20210122
AXS,20210122
AXTA,20210122
AYI,20210122
AYX,20210122
AZEK,20210122
AZO,20210122
AZPN,20210122
BA,20210122
BAC,20210122
BAH,20210122
BAX,20210122
BBY,20210122
BC,20210122
BDN,20210122
BDX,20210122
BEN,20210122
BERY,20210122
BFAM,20210122
BG,20210122
BHF,20210122
BIGC,20210122
BIIB,20210122
BILI,20210122
BILL,20210122
BIO,20210122
BK,20210122
BKI,20210122
BKNG,20210122
BKR,20210122
BLI,20210122
BLK,20210122
BLL,20210122
BLUE,20210122
BMO,20210122
BMRN,20210122
BMY,20210122
BNS,20210122
BOH,20210122
BOKF,20210122
BPOP,20210122
BPYU,20210122
BR,20210122
BRKR,20210122
BRO,20210122
BRX,20210122
BSX,20210122
BURL,20210122
BWA,20210122
BWXT,20210122
BXP,20210122
BYND,20210122
C,20210122
CABO,20210122
CACC,20210122
CACI,20210122
CAG,20210122
CAH,20210122
CARR,20210122
CASY,20210122
CAT,20210122
CB,20210122
CBOE,20210122
CBRE,20210122
CBSH,20210122
CBT,20210122
CC,20210122
CCI,20210122
CCK,20210122
CCL,20210122
CDAY,20210122
CDK,20210122
CDNS,20210122
CDW,20210122
CE,20210122
CERN,20210122
CF,20210122
CFG,20210122
CFR,20210122
CFX,20210122
CG,20210122
CGNX,20210122
CHD,20210122
CHE,20210122
CHGG,20210122
CHH,20210122
CHNG,20210122
CHRW,20210122
CHTR,20210122
CI,20210122
CIEN,20210122
CINF,20210122
CL,20210122
CLGX,20210122
CLH,20210122
CLR,20210122
CLX,20210122
CM,20210122
CMA,20210122
CMCSA,20210122
CME,20210122
CMG,20210122
CMI,20210122
CMS,20210122
CNA,20210122
CNC,20210122
CNP,20210122
COF,20210122
COG,20210122
COHR,20210122
COLD,20210122
COLM,20210122
COMM,20210122
CONE,20210122
COO,20210122
COP,20210122
COR,20210122
COST,20210122
COTY,20210122
COUP,20210122
CPA,20210122
CPB,20210122
CPRI,20210122
CPRT,20210122
CPT,20210122
CR,20210122
CREE,20210122
CRI,20210122
CRL,20210122
CRM,20210122
CRUS,20210122
CRWD,20210122
CSCO,20210122
CSGP,20210122
CSL,20210122
CSX,20210122
CTAS,20210122
CTLT,20210122
CTSH,20210122
CTVA,20210122
CTXS,20210122
CUBE,20210122
CUZ,20210122
CVNA,20210122
CVS,20210122
CVX,20210122
CW,20210122
CXO,20210115
D,20210122
DAL,20210122
DASH,20210122
DBX,20210122
DCI,20210122
DCT,20210122
DD,20210122
DDOG,20210122
DE,20210122
DEI,20210122
DELL,20210122
DFS,20210122
DG,20210122
DGX,20210122
DHI,20210122
DHR,20210122
DIS,20210122
DISCA,20210122
DISCK,20210122
DISH,20210122
DKS,20210122
DLB,20210122
DLR,20210122
DLTR,20210122
DNB,20210122
DOCU,20210122
DOV,20210122
DOW,20210122
DOX,20210122
DPZ,20210122
DRE,20210122
DRI,20210122
DT,20210122
DTE,20210122
DUK,20210122
DVA,20210122
DVN,20210122
DXC,20210122
DXCM,20210122
EA,20210122
EAF,20210122
EBAY,20210122
EBS,20210122
ECL,20210122
ED,20210122
EEFT,20210122
EFX,20210122
EHC,20210122
EIX,20210122
EL,20210122
ELAN,20210122
ELS,20210122
EMN,20210122
EMR,20210122
ENPH,20210122
ENR,20210122
ENTG,20210122
EOG,20210122
EPAM,20210122
EPR,20210122
EQC,20210122
EQH,20210122
EQIX,20210122
EQR,20210122
EQT,20210122
ERIE,20210122
ES,20210122
ESI,20210122
ESRT,20210122
ESS,20210122
ESTC,20210122
ETN,20210122
ETR,20210122
ETRN,20210122
ETSY,20210122
EV,20210122
EVBG,20210122
EVR,20210122
EVRG,20210122
EW,20210122
EWBC,20210122
EXAS,20210122
EXC,20210122
EXEL,20210122
EXP,20210122
EXPD,20210122
EXPE,20210122
EXR,20210122
F,20210122
FAF,20210122
FANG,20210122
FAST,20210122
FB,20210122
FBHS,20210122
FCN,20210122
FCNCA,20210122
FCX,20210122
FDS,20210122
FDX,20210122
FE,20210122
FEYE,20210122
FFIV,20210122
FHB,20210122
FHN,20210122
FICO,20210122
FIS,20210122
FISV,20210122
FITB,20210122
FIVE,20210122
FIVN,20210122
FL,20210122
FLGT,20210122
FLO,20210122
FLS,20210122
FLT,20210122
FMC,20210122
FNB,20210122
FND,20210122
FNF,20210122
FOX,20210122
FOXA,20210122
FR,20210122
FRC,20210122
FROG,20210122
FRT,20210122
FSLR,20210122
FSLY,20210122
FTDR,20210122
FTNT,20210122
FTV,20210122
FWONA,20210122
FWONK,20210122
G,20210122
GBT,20210122
GD,20210122
GDDY,20210122
GE,20210122
GGG,20210122
GH,20210122
GHC,20210122
GILD,20210122
GIS,20210122
GL,20210122
GLOB,20210122
GLPI,20210122
GLW,20210122
GM,20210122
GMED,20210122
GNRC,20210122
GNTX,20210122
GO,20210122
GOCO,20210122
GOOG,20210122
GOOGL,20210122
GPC,20210122
GPK,20210122
GPN,20210122
GPS,20210122
GRA,20210122
GRMN,20210122
GRUB,20210122
GS,20210122
GTES,20210122
GWRE,20210122
GWW,20210122
H,20210122
HAE,20210122
HAIN,20210122
HAL,20210122
HAS,20210122
HBAN,20210122
HBI,20210122
HCA,20210122
HD,20210122
HE,20210122
HEI,20210122
HEI.A,20210122
HES,20210122
HFC,20210122
HHC,20210122
HIG,20210122
HII,20210122
HIW,20210122
HLF,20210122
HLT,20210122
HOG,20210122
HOLX,20210122
HON,20210122
HP,20210122
HPE,20210122
HPP,20210122
HPQ,20210122
HRB,20210122
HRC,20210122
HRL,20210122
HSIC,20210122
HST,20210122
HSY,20210122
HTA,20210122
HUBB,20210122
HUBS,20210122
HUM,20210122
HUN,20210122
HWM,20210122
HXL,20210122
HZNP,20210122
IAA,20210122
IAC,20210122
IART,20210122
IBKR,20210122
IBM,20210122
ICE,20210122
ICUI,20210122
IDA,20210122
IDXX,20210122
IEX,20210122
IFF,20210122
ILMN,20210122
INCY,20210122
INFO,20210122
INGR,20210122
INTC,20210122
INTU,20210122
INVH,20210122
IONS,20210122
IOVA,20210122
IP,20210122
IPG,20210122
IPGP,20210122
IPHI,20210122
IQV,20210122
IR,20210122
IRM,20210122
ISRG,20210122
IT,20210122
ITT,20210122
ITW,20210122
IVZ,20210122
J,20210122
JAZZ,20210122
JBGS,20210122
JBHT,20210122
JBL,20210122
JBLU,20210122
JCI,20210122
JEF,20210122
JKHY,20210122
JLL,20210122
JNJ,20210122
JNPR,20210122
JPM,20210122
JWN,20210122
K,20210122
KDP,20210122
KEX,20210122
KEY,20210122
KEYS,20210122
KHC,20210122
KIM,20210122
KKR,20210122
KLAC,20210122
KMB,20210122
KMI,20210122
KMPR,20210122
KMX,20210122
KNX,20210122
KO,20210122
KR,20210122
KRC,20210122
KSS,20210122
KSU,20210122
L,20210122
LAMR,20210122
LAZ,20210122
LB,20210122
LBRDA,20210122
LDOS,20210122
LEA,20210122
LECO,20210122
LEG,20210122
LEN,20210122
