id,close,high,low,open,status,date_int_key,volume,symbol,timestamp
1943,32.05,32.2,31.7,31.85,ok,1514851200,159474,THRM,2018-01-01 19:00:00
1944,32.5,32.7,31.8,32.0,ok,1514937600,174155,THRM,2018-01-02 19:00:00
1945,33.5,33.6,32.7,32.75,ok,1515024000,119940,THRM,2018-01-03 19:00:00
1946,31.8,32.9,31.6,32.45,ok,1515110400,377162,THRM,2018-01-04 19:00:00
1947,32.3,32.75,31.45,31.65,ok,1515369600,227986,THRM,2018-01-07 19:00:00
1948,32.25,32.8,32.175,32.4,ok,1515456000,187645,THRM,2018-01-08 19:00:00
1949,32.1,32.55,31.6,32.15,ok,1515542400,203409,THRM,2018-01-09 19:00:00
1950,32.25,32.6,31.95,32.15,ok,1515628800,171737,THRM,2018-01-10 19:00:00
1951,32.95,33.15,32.05,32.4,ok,1515715200,113832,THRM,2018-01-11 19:00:00
1952,32.6,33.35,32.45,33.2,ok,1516060800,156922,THRM,2018-01-15 19:00:00
1953,32.7,32.9,32.15,32.65,ok,1516147200,129683,THRM,2018-01-16 19:00:00
1954,32.1,32.7,31.95,32.7,ok,1516233600,97129,THRM,2018-01-17 19:00:00
1955,32.4,32.55,31.65,32.1,ok,1516320000,127904,THRM,2018-01-18 19:00:00
1956,32.0,32.55,31.7,32.55,ok,1516579200,170190,THRM,2018-01-21 19:00:00
1957,32.3,32.5,31.8,32.0,ok,1516665600,436610,THRM,2018-01-22 19:00:00
1958,31.8,32.85,31.8,32.45,ok,1516752000,234043,THRM,2018-01-23 19:00:00
1959,31.45,31.95,31.15,31.95,ok,1516838400,286862,THRM,2018-01-24 19:00:00
1960,32.05,32.05,31.35,31.55,ok,1516924800,199812,THRM,2018-01-25 19:00:00
1961,32.15,32.25,31.55,31.8,ok,1517184000,192777,THRM,2018-01-28 19:00:00
1962,32.0,32.4,31.65,31.95,ok,1517270400,216893,THRM,2018-01-29 19:00:00
1963,32.0,32.3,31.8,32.0,ok,1517356800,128997,THRM,2018-01-30 19:00:00
1964,32.0,32.3,31.55,31.75,ok,1517443200,213536,THRM,2018-01-31 19:00:00
1965,31.1,31.95,30.75,31.85,ok,1517529600,474343,THRM,2018-02-01 19:00:00
1966,30.8,31.55,30.7,31.0,ok,1517788800,302158,THRM,2018-02-04 19:00:00
1967,31.7,31.9,30.2,30.25,ok,1517875200,251948,THRM,2018-02-05 19:00:00
1968,31.65,31.95,31.35,31.6,ok,1517961600,169104,THRM,2018-02-06 19:00:00
1969,30.8,31.7,30.7,31.7,ok,1518048000,206151,THRM,2018-02-07 19:00:00
1970,30.65,31.2,30.175,31.1,ok,1518134400,314268,THRM,2018-02-08 19:00:00
1971,30.8,31.4,30.25,30.8,ok,1518393600,240819,THRM,2018-02-11 19:00:00
1972,30.65,30.85,30.25,30.6,ok,1518480000,143847,THRM,2018-02-12 19:00:00
1973,31.45,31.5,30.35,30.35,ok,1518566400,106921,THRM,2018-02-13 19:00:00
1974,31.35,31.75,31.05,31.6,ok,1518652800,131236,THRM,2018-02-14 19:00:00
1975,31.65,31.9,31.3,31.55,ok,1518739200,235042,THRM,2018-02-15 19:00:00
1976,33.35,33.525,31.8,32.55,ok,1519084800,384583,THRM,2018-02-19 19:00:00
1977,32.95,34.5,32.875,34.5,ok,1519171200,359520,THRM,2018-02-20 19:00:00
1978,31.75,33.0,31.725,33.0,ok,1519257600,260579,THRM,2018-02-21 19:00:00
1979,31.55,32.15,31.55,31.85,ok,1519344000,227114,THRM,2018-02-22 19:00:00
1980,32.05,32.1,31.25,31.65,ok,1519603200,123012,THRM,2018-02-25 19:00:00
1981,31.0,32.15,30.95,32.0,ok,1519689600,203326,THRM,2018-02-26 19:00:00
1982,30.8,31.275,30.6,31.05,ok,1519776000,420856,THRM,2018-02-27 19:00:00
1983,31.3,31.5,30.5,30.8,ok,1519862400,335481,THRM,2018-02-28 19:00:00
1984,32.2,32.4,30.7,31.0,ok,1519948800,224851,THRM,2018-03-01 19:00:00
1985,32.7,32.85,31.95,31.95,ok,1520208000,201652,THRM,2018-03-04 19:00:00
1986,32.85,33.05,32.1,32.85,ok,1520294400,200253,THRM,2018-03-05 19:00:00
1987,33.4,33.65,32.3,32.6,ok,1520380800,203387,THRM,2018-03-06 19:00:00
1988,33.1,33.6,32.95,33.5,ok,1520467200,168560,THRM,2018-03-07 19:00:00
1989,33.45,33.6,33.25,33.3,ok,1520553600,119345,THRM,2018-03-08 19:00:00
1990,33.4,33.8,33.2,33.45,ok,1520812800,107903,THRM,2018-03-11 20:00:00
1991,34.0,34.3,33.25,33.45,ok,1520899200,209497,THRM,2018-03-12 20:00:00
1992,33.4,34.25,33.1,34.15,ok,1520985600,242999,THRM,2018-03-13 20:00:00
1993,33.4,33.7,33.225,33.4,ok,1521072000,128332,THRM,2018-03-14 20:00:00
1994,33.85,33.9,32.8,33.4,ok,1521158400,389207,THRM,2018-03-15 20:00:00
1995,33.2,33.7,32.75,33.7,ok,1521417600,113746,THRM,2018-03-18 20:00:00
1996,33.2,33.45,32.95,33.3,ok,1521504000,108340,THRM,2018-03-19 20:00:00
1997,34.15,34.2,33.0,33.15,ok,1521590400,175160,THRM,2018-03-20 20:00:00
1998,33.8,34.15,33.1,33.8,ok,1521676800,279531,THRM,2018-03-21 20:00:00
1999,33.35,34.0,33.2,33.9,ok,1521763200,600221,THRM,2018-03-22 20:00:00
2000,34.2,34.45,33.45,33.85,ok,1522022400,170313,THRM,2018-03-25 20:00:00
2001,33.65,34.275,33.25,34.25,ok,1522108800,216037,THRM,2018-03-26 20:00:00
2002,33.5,34.15,33.05,33.6,ok,1522195200,192163,THRM,2018-03-27 20:00:00
2003,33.95,34.15,33.7,33.7,ok,1522281600,190924,THRM,2018-03-28 20:00:00
2004,33.75,34.15,33.6,33.8,ok,1522627200,250727,THRM,2018-04-01 20:00:00
2005,34.35,34.425,33.85,33.95,ok,1522713600,169031,THRM,2018-04-02 20:00:00
2006,34.9,34.95,33.85,33.85,ok,1522800000,142321,THRM,2018-04-03 20:00:00
2007,35.5,35.85,34.6,35.0,ok,1522886400,118529,THRM,2018-04-04 20:00:00
2008,35.0,35.85,34.925,35.25,ok,1522972800,223728,THRM,2018-04-05 20:00:00
2009,34.7,35.4,34.35,35.3,ok,1523232000,242384,THRM,2018-04-08 20:00:00
2010,34.95,35.2,34.8,35.2,ok,1523318400,318618,THRM,2018-04-09 20:00:00
2011,35.0,35.2,34.6,34.95,ok,1523404800,115333,THRM,2018-04-10 20:00:00
2012,35.2,35.35,35.0,35.15,ok,1523491200,103437,THRM,2018-04-11 20:00:00
2013,35.3,35.35,35.0,35.3,ok,1523577600,110846,THRM,2018-04-12 20:00:00
2014,36.05,36.15,35.2,35.5,ok,1523836800,236601,THRM,2018-04-15 20:00:00
2015,36.6,36.75,36.2,36.25,ok,1523923200,197502,THRM,2018-04-16 20:00:00
2016,36.25,36.85,36.25,36.65,ok,1524009600,172105,THRM,2018-04-17 20:00:00
2017,35.6,36.35,35.5,36.25,ok,1524096000,102596,THRM,2018-04-18 20:00:00
2018,35.65,36.1,34.6,35.4,ok,1524182400,164831,THRM,2018-04-19 20:00:00
2019,34.5,35.85,34.425,35.4,ok,1524441600,195353,THRM,2018-04-22 20:00:00
2020,34.6,34.7,33.85,34.7,ok,1524528000,261662,THRM,2018-04-23 20:00:00
2021,34.9,35.175,34.5,34.5,ok,1524614400,187902,THRM,2018-04-24 20:00:00
2022,34.525,34.6,30.45,32.55,ok,1524700800,276106,THRM,2018-04-25 20:00:00
2023,33.825,34.8,33.75,34.55,ok,1524787200,292895,THRM,2018-04-26 20:00:00
2024,33.8,34.55,33.7,33.95,ok,1525046400,299116,THRM,2018-04-29 20:00:00
2025,33.95,34.05,33.55,33.65,ok,1525132800,279960,THRM,2018-04-30 20:00:00
2026,34.7,34.8,34.0,34.0,ok,1525219200,164456,THRM,2018-05-01 20:00:00
2027,34.5,34.7,34.0,34.5,ok,1525305600,216005,THRM,2018-05-02 20:00:00
2028,34.45,34.9,34.3,34.45,ok,1525392000,129516,THRM,2018-05-03 20:00:00
2029,34.7,35.0,34.45,34.5,ok,1525651200,136287,THRM,2018-05-06 20:00:00
2030,34.75,35.05,34.55,34.65,ok,1525737600,161050,THRM,2018-05-07 20:00:00
2031,34.75,35.05,34.05,34.75,ok,1525824000,225047,THRM,2018-05-08 20:00:00
