Date,TSLA,AAL,DISH,DXC,FANG,FTNT,NOW,PAYC,TWTR,ZBRA
2020-05-31 20:00:00,179.62,11.11,32.63,14.76,43.73,144.75,383.37,305.61,31.89,264.97
2020-06-01 20:00:00,176.31199999999998,11.22,32.45,16.16,45.61,143.94,392.9,306.84,32.26,264.09
2020-06-02 20:00:00,176.592,11.85,33.93,17.85,47.58,142.89,388.09,306.98,34.88,269.02
2020-06-03 20:00:00,172.876,16.72,34.74,17.6,47.68,139.58,376.95,303.17,33.72,261.17
2020-06-04 20:00:00,177.132,18.59,35.82,18.0,52.21,140.48,390.46,329.78,34.87,277.55
2020-06-07 20:00:00,189.984,20.31,37.32,19.56,59.82,137.51,386.64,331.02,36.64,277.06
2020-06-08 20:00:00,188.134,18.55,35.28,18.14,53.92,135.92,388.83,327.6,35.92,270.32
2020-06-09 20:00:00,205.01,17.02,33.33,16.94,50.17,137.64,401.66,331.5,35.14,267.08
2020-06-10 20:00:00,194.568,14.38,31.455,14.77,44.36,131.73,375.05,295.68,33.03,250.19
2020-06-11 20:00:00,187.056,16.74,32.7,16.27,46.96,130.34,385.13,302.8,33.4,258.33
2020-06-14 20:00:00,198.18,16.7,34.04,16.39,48.12,135.91,392.5,307.72,34.11,259.41
2020-06-15 20:00:00,196.426,17.03,35.24,16.22,49.97,136.73,398.46,312.64,34.63,266.46
2020-06-16 20:00:00,198.358,16.98,35.29,15.81,46.55,135.48,400.65,309.02,34.34,260.82
2020-06-17 20:00:00,200.792,16.49,36.89,15.66,46.59,135.64,401.03,316.3,34.03,262.23
2020-06-18 20:00:00,200.18,16.0,35.45,15.43,46.73,136.71,399.87,318.16,33.41,264.41
2020-06-21 20:00:00,198.864,14.92,35.26,15.49,46.09,142.87,402.82,322.66,33.47,261.79
2020-06-22 20:00:00,200.356,14.0,35.16,16.24,46.31,137.07,400.94,329.64,32.91,260.77
2020-06-23 20:00:00,192.17,13.04,34.41,15.04,41.9,134.33,392.93,312.57,31.73,250.5
2020-06-24 20:00:00,197.196,13.17,33.87,15.91,43.62,135.83,401.64,317.04,31.37,253.64
2020-06-25 20:00:00,191.948,12.38,32.55,15.48,41.13,134.55,399.97,306.37,29.05,246.42
2020-06-28 20:00:00,201.87,13.32,33.05,16.08,41.43,133.47,394.55,300.36,29.49,252.05
2020-06-29 20:00:00,215.962,13.07,34.51,16.5,41.82,137.27,405.06,309.73,29.79,255.95
2020-06-30 20:00:00,223.926,12.81,34.625,16.14,39.6,139.22,416.79,320.26,30.81,251.23
2020-07-01 20:00:00,241.73200000000003,12.5,33.06,16.15,41.56,138.44,414.21,321.5,30.87,255.04
2020-07-05 20:00:00,274.316,12.8,33.5,15.29,42.88,139.7,416.44,321.41,32.34,261.63
2020-07-06 20:00:00,277.972,11.91,32.68,15.28,40.12,137.96,411.74,313.73,32.99,254.26
2020-07-07 20:00:00,273.17600000000004,11.99,31.97,15.46,40.23,146.35,425.2,319.14,35.41,257.21
2020-07-08 20:00:00,278.856,11.18,30.83,15.16,37.5,149.6,426.37,314.01,35.72,262.01
2020-07-09 20:00:00,308.93,11.94,31.87,15.49,38.93,145.8,422.91,309.0,35.4,260.67
2020-07-12 20:00:00,299.412,11.63,32.05,15.51,37.1,131.12,401.87,290.25,33.82,255.5
2020-07-13 20:00:00,303.36,11.57,32.49,15.41,39.28,134.48,413.23,286.44,34.38,266.47
2020-07-14 20:00:00,309.202,13.44,33.78,16.42,39.9,129.32,423.56,294.19,35.67,268.16
2020-07-15 20:00:00,300.12800000000004,12.45,33.23,16.66,39.51,127.35,413.88,290.3,35.28,267.66
2020-07-16 20:00:00,300.168,11.91,32.74,16.81,39.02,129.12,421.81,295.07,35.81,273.1
2020-07-19 20:00:00,328.6,11.47,32.5,16.9,38.58,134.79,449.27,302.8,37.06,276.36
2020-07-20 20:00:00,313.672,11.47,33.55,17.1,42.11,133.66,437.22,293.9,37.01,273.28
2020-07-21 20:00:00,318.466,11.36,33.55,17.28,41.7,134.29,441.6,298.06,36.94,277.0
2020-07-22 20:00:00,302.614,11.77,33.4,17.53,41.07,135.16,430.85,291.2,38.44,275.71
2020-07-23 20:00:00,283.4,11.39,33.36,17.15,40.73,133.04,425.19,286.97,37.54,269.98
2020-07-26 20:00:00,307.92,11.39,33.38,17.13,40.05,136.65,433.81,290.29,36.85,273.34
2020-07-27 20:00:00,295.298,11.77,33.13,16.94,38.88,133.42,435.04,286.79,36.61,271.18
2020-07-28 20:00:00,299.822,11.4,33.42,17.8,40.76,136.84,445.71,294.42,37.16,273.85
2020-07-29 20:00:00,297.498,11.18,32.84,17.76,39.51,136.75,431.4,286.53,36.72,274.95
2020-07-30 20:00:00,286.152,11.12,32.11,17.91,39.86,138.3,439.2,284.37,36.4,280.75
2020-08-02 20:00:00,297.0,11.08,33.96,18.15,40.01,138.22,439.96,288.08,36.39,280.72
2020-08-03 20:00:00,297.4,11.47,33.74,18.24,41.07,138.83,438.15,285.5,36.35,284.68
2020-08-04 20:00:00,297.004,12.56,34.07,18.48,41.63,140.12,435.74,302.05,36.79,288.84
2020-08-05 20:00:00,297.916,13.04,34.3,18.69,40.73,139.51,430.33,298.66,37.69,286.73
2020-08-06 20:00:00,290.54200000000003,13.03,34.17,19.9,42.01,131.0,431.21,296.66,37.14,283.04
2020-08-09 20:00:00,283.714,14.0,35.37,20.26,44.67,126.88,438.68,289.44,37.44,280.41
2020-08-10 20:00:00,274.87800000000004,13.73,35.23,20.02,44.45,126.59,421.36,285.49,37.28,280.57
2020-08-11 20:00:00,310.952,13.54,34.43,19.6,44.57,126.7,427.13,287.7,37.44,284.01
2020-08-12 20:00:00,324.2,13.3,35.08,19.64,44.58,127.44,438.42,301.88,37.82,285.61
2020-08-13 20:00:00,330.142,13.33,34.67,20.41,45.51,127.6,435.73,303.07,37.9,286.03
2020-08-16 20:00:00,367.128,12.62,35.0,20.15,45.08,129.16,442.37,299.05,37.97,286.74
2020-08-17 20:00:00,377.418,12.6,34.36,19.37,44.49,129.92,437.58,292.31,38.01,281.96
2020-08-18 20:00:00,375.706,12.68,34.05,19.71,43.3,129.51,437.13,293.0,38.89,283.13
2020-08-19 20:00:00,400.366,12.5,33.89,19.13,40.63,133.59,453.34,293.43,38.96,276.55
2020-08-20 20:00:00,409.996,12.16,33.53,18.68,39.21,131.71,449.42,287.21,39.26,275.33
2020-08-23 20:00:00,402.84,13.44,34.58,18.94,40.05,133.06,448.1,284.43,40.49,275.39
2020-08-24 20:00:00,404.668,13.14,34.2,19.21,41.06,133.28,457.93,287.27,40.55,277.86
2020-08-25 20:00:00,430.634,12.785,34.56,19.46,39.39,137.22,487.7,295.84,41.08,284.74
2020-08-26 20:00:00,447.75,13.28,34.71,19.76,39.77,132.07,480.55,293.0,40.39,277.26
2020-08-27 20:00:00,442.68,13.59,34.82,20.56,40.14,130.74,487.87,299.84,41.07,280.16
2020-08-31 20:00:00,475.05,13.05,35.52,19.98,38.96,132.005,482.02,299.46,40.58,286.53
2020-09-01 20:00:00,447.37,13.1,34.57,20.04,38.48,130.52,497.19,307.52,41.15,287.16
2020-09-02 20:00:00,407.0,13.23,35.5,22.37,36.32,132.6,499.69,305.3,43.67,294.36
2020-09-03 20:00:00,418.32,13.36,34.04,21.35,35.77,120.7,468.84,284.0,41.63,269.25
2020-09-07 20:00:00,330.21,13.61,33.78,20.65,35.53,117.64,450.35,270.75,39.87,260.55
2020-09-08 20:00:00,366.28,13.63,33.03,19.96,31.99,115.42,443.14,272.51,38.19,249.26
2020-09-09 20:00:00,371.34,13.05,33.17,20.1,32.185,117.11,458.2,280.17,39.56,255.11
